CAMIS,DBA,AIRPORT,BUILDING,CUISINE_DESCRIPTION,INSPECTION_DATE,ACTION,VIOLATION_CODE,VIOLATION_DESCRIPTION,CRITICAL_FLAG,SCORE,GRADE,GRADE_DATE,RECORD_DATE,INSPECTION_TYPE
50045772,SHAHI MOGHUL INDIAN RESTAURANT,CSG,196,Indian,1/28/2017,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,6,A,1/28/2017,8/28/2017,Cycle Inspection / Re-inspection
41679611,TAKESUSHI,CVG,4346,Japanese,3/26/2015,Violations were cited in the following area(s).,06B,"Tobacco use, eating, or drinking from open container in food preparation, food storage or dishwashing area observed.",Critical,12,A,3/26/2015,8/28/2017,Cycle Inspection / Re-inspection
41338955,PHO BANG RESTAURANT,CWA,8290,Vietnamese/Cambodian/Malaysia,3/30/2015,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,10,A,3/30/2015,8/28/2017,Cycle Inspection / Re-inspection
41690384,RED MANGO,DAB,6115,"Ice Cream, Gelato, Yogurt, Ices",10/26/2016,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,8,A,10/26/2016,8/28/2017,Cycle Inspection / Initial Inspection
50016385,7 TACOS MEXICAN CUISINE CORP,DAY,101,Mexican,6/29/2016,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Critical,25,B,6/29/2016,8/28/2017,Cycle Inspection / Re-inspection
41145185,SZECHUAN GARDEN,DCA,2428,Chinese,8/3/2015,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,6,A,8/3/2015,8/28/2017,Cycle Inspection / Initial Inspection
50047362,CAFE HONG KONG,DEN,51,Chinese,3/23/2017,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,A,3/23/2017,8/28/2017,Cycle Inspection / Re-inspection
41463823,SAL ANTHONY'S ITALIAN HEROS,DFW,3118,Italian,12/22/2015,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,4,A,12/22/2015,8/28/2017,Cycle Inspection / Initial Inspection
41670166,PROSPECT,CPR,773,American,1/29/2016,Violations were cited in the following area(s).,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,Not Critical,12,A,1/29/2016,8/28/2017,Cycle Inspection / Initial Inspection
41390135,EL POLLO INKA PERU II,CSG,11220,Peruvian,6/13/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,22,B,6/13/2017,8/28/2017,Cycle Inspection / Re-inspection
50012829,THE CANTINE,CVG,232,CafÃ©/Coffee/Tea,10/29/2014,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,13,A,10/29/2014,8/28/2017,Cycle Inspection / Re-inspection
50039535,TASTY HAND-PULLED NOODLES,CWA,648,Chinese,7/19/2016,Violations were cited in the following area(s).,09B,Thawing procedures improper.,Not Critical,9,A,7/19/2016,8/28/2017,Cycle Inspection / Re-inspection
50038194,FIRST CHOICE RESTAURANT,DAB,3893A,Chinese,6/13/2017,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Critical,19,B,6/13/2017,8/28/2017,Cycle Inspection / Re-inspection
41395379,STAND 114,DAY,126,American,5/27/2015,Violations were cited in the following area(s).,04D,"Food worker does not wash hands thoroughly after using the toilet, coughing, sneezing, smoking, eating, preparing raw foods or otherwise contaminating hands.",Critical,12,A,5/27/2015,8/28/2017,Cycle Inspection / Re-inspection
41396554,NEW THRIVING RESTAURANT,DEN,12012,Chinese,1/30/2014,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,11,A,1/30/2014,8/28/2017,Cycle Inspection / Re-inspection
50000123,S & S HOT SPOT ROTI SHOP & RESTAURANT,DHN,10817,Caribbean,2/4/2015,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,19,B,2/4/2015,8/28/2017,Cycle Inspection / Re-inspection
50035946,VIETSPOT,DLH,99,Asian,1/25/2016,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,5,A,1/25/2016,8/28/2017,Cycle Inspection / Re-inspection
41477995,RJC FAMILY'S CAFE,DRO,2378,Mexican,3/31/2016,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,14,B,3/31/2016,8/28/2017,Cycle Inspection / Re-inspection
41426289,GEORGINA RESTAURANT,DTW,1003,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",5/4/2017,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,7,A,5/4/2017,8/28/2017,Cycle Inspection / Initial Inspection
50010977,RENACER,DVL,6703,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",6/25/2014,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,15,B,6/25/2014,8/28/2017,Pre-permit (Operational) / Re-inspection
41532380,JJ s ASIAN FUSION,COS,3705,Japanese,2/4/2015,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,12,A,2/4/2015,8/28/2017,Cycle Inspection / Re-inspection
41016585,HQ CLUB,CPR,552,American,1/30/2016,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,11,A,1/30/2016,8/28/2017,Cycle Inspection / Re-inspection
50018202,DUO RO RESTAURANT,CRP,5816,Chinese,5/22/2015,Violations were cited in the following area(s).,10I,"Single service item reused, improperly stored, dispensed; not used when required.",Not Critical,10,A,5/22/2015,8/28/2017,Cycle Inspection / Re-inspection
50040866,FUEL GRILL,CSG,112,American,1/6/2017,Violations were cited in the following area(s).,08C,Pesticide use not in accordance with label or applicable laws. Prohibited chemical used/stored. Open bait station used.,Not Critical,11,A,1/6/2017,8/28/2017,Cycle Inspection / Initial Inspection
41236466,DUNKIN' DONUTS,CWA,7519,Donuts,6/30/2014,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,7,A,6/30/2014,8/28/2017,Cycle Inspection / Initial Inspection
50044250,FUJI JAPANESE CUISINE,DAL,11327,Japanese,10/11/2016,Violations were cited in the following area(s).,04C,Food worker does not use proper utensil to eliminate bare hand contact with food that will not receive adequate additional heat treatment.,Critical,17,B,10/11/2016,8/28/2017,Cycle Inspection / Re-inspection
50044470,NYONYA,DEN,199,Asian,1/11/2016,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,11,A,1/11/2016,8/28/2017,Pre-permit (Operational) / Initial Inspection
50018870,LIQUITERIA,DFW,63,"Juice, Smoothies, Fruit Salads",12/16/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,19,B,12/16/2016,8/28/2017,Cycle Inspection / Re-inspection
41562672,"DUNKIN' DONUTS, BASKIN ROBBINS",DIK,16804,Donuts,8/8/2016,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,11,A,8/8/2016,8/28/2017,Cycle Inspection / Re-inspection
41660386,THE LATELY,DLG,357,American,6/15/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,6/15/2017,8/28/2017,Cycle Inspection / Re-inspection
50006264,BUNNA CAFE,DRO,1084,Ethiopian,9/18/2014,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,7,A,9/18/2014,8/28/2017,Cycle Inspection / Initial Inspection
41427508,KING OF TANDOOR,DSM,600,Indian,12/18/2014,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A,12/18/2014,8/28/2017,Cycle Inspection / Initial Inspection
50042964,RIVERDEL,DTW,820A,American,4/8/2017,Violations were cited in the following area(s).,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Critical,8,A,4/8/2017,8/28/2017,Cycle Inspection / Re-inspection
41647664,TACI'S AUTHENTIC TURKISH RESTAURANT,CSG,10207,Turkish,7/30/2014,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,11,A,7/30/2014,8/28/2017,Cycle Inspection / Initial Inspection
50018793,NEW GOLDEN DRAGON CHINESE RESTAURANT,CVG,398A,Chinese,2/14/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,2/14/2017,8/28/2017,Cycle Inspection / Initial Inspection
40549885,MONTEZUMA RESTAURANT,CWA,119,Mexican,9/22/2015,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,19,B,9/22/2015,8/28/2017,Cycle Inspection / Re-inspection
50006735,TACO BELL,DAL,1503,Tex-Mex,5/10/2016,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,8,A,5/10/2016,8/28/2017,Cycle Inspection / Initial Inspection
41468442,LAS PALMAS BAKERY,DEN,2269,Bakery,2/12/2016,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,10,A,2/12/2016,8/28/2017,Cycle Inspection / Re-inspection
50012798,LOJA'S PIZZA,DIK,190,Pizza/Italian,5/11/2017,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,11,A,5/11/2017,8/28/2017,Cycle Inspection / Initial Inspection
41491093,HAAGEN-DAZS,DLG,55,"Ice Cream, Gelato, Yogurt, Ices",5/11/2015,Violations were cited in the following area(s).,10E,Accurate thermometer not provided in refrigerated or hot holding equipment.,Not Critical,7,A,5/11/2015,8/28/2017,Cycle Inspection / Initial Inspection
41558918,ROGER WILLIAMS HOTEL,DLH,131,American,4/1/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,4/1/2016,8/28/2017,Cycle Inspection / Re-inspection
41486693,KENNEDY CHICKEN & GYROS,DSM,158,Chicken,10/24/2014,Violations were cited in the following area(s).,04J,"Appropriately scaled metal stem-type thermometer or thermocouple not provided or used to evaluate temperatures of potentially hazardous foods during cooking, cooling, reheating and holding.",Critical,13,A,10/24/2014,8/28/2017,Cycle Inspection / Re-inspection
50002622,SING GARDEN RESTAURANT,DTW,1165,Chinese,4/9/2015,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,10,A,4/9/2015,8/28/2017,Cycle Inspection / Initial Inspection
40624744,SWING 46 JAZZ AND SUPPER CLUB,COS,349,American,5/23/2017,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,13,A,5/23/2017,8/28/2017,Cycle Inspection / Re-inspection
50043092,GALERIA,CPR,43,Brazilian,2/23/2016,Violations were cited in the following area(s).,10H,Proper sanitization not provided for utensil ware washing operation.,Not Critical,8,A,2/23/2016,8/28/2017,Pre-permit (Operational) / Re-inspection
50047031,Twin Lin's Garden,CRP,854,Chinese,6/27/2016,Violations were cited in the following area(s).,04M,Live roaches present in facility's food and/or non-food areas.,Critical,12,A,6/27/2016,8/28/2017,Pre-permit (Operational) / Re-inspection
40741967,TONG HAI TUNG BAKERY,CRW,4112,Bakery,6/1/2015,Violations were cited in the following area(s).,02H,"Food not cooled by an approved method whereby the internal product temperature is reduced from 140Âº F to 70Âº F or less within 2 hours, and from 70Âº F to 41Âº F or less within 4 additional hours.",Critical,9,A,6/1/2015,8/28/2017,Cycle Inspection / Re-inspection
40400129,LA CARIDAD RESTAURANT,CSG,2092,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",6/29/2015,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,33,C,6/29/2015,8/28/2017,Cycle Inspection / Re-inspection
41584112,WESTIN HOTEL,CWA,212,Continental,7/22/2014,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,3,A,7/22/2014,8/28/2017,Cycle Inspection / Initial Inspection
41705878,MARSH & MCLENNAN CAFETERIA,DAL,1166,American,9/24/2014,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,10,A,9/24/2014,8/28/2017,Cycle Inspection / Initial Inspection
41681758,CAFE FRESCO,DAY,205,American,12/7/2016,Violations were cited in the following area(s).,06F,Wiping cloths soiled or not stored in sanitizing solution.,Critical,10,A,12/7/2016,8/28/2017,Cycle Inspection / Initial Inspection
41711191,WONG'S KITCHEN,DBQ,1525,Chinese,6/29/2015,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,-1,B,6/29/2015,8/28/2017,Cycle Inspection / Re-inspection
50058639,DSQUARE CAFE,DLG,714,American,2/21/2017,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,7,A,2/21/2017,8/28/2017,Pre-permit (Operational) / Re-inspection
41506131,IL PUNTO RISTORANTE,COS,507509,Italian,10/24/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,10,A,10/24/2016,8/28/2017,Cycle Inspection / Initial Inspection
50034191,RESIDENCE INN BY MARRIOTT BRONX,CRW,1776,American,6/9/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,5,A,6/9/2017,8/28/2017,Cycle Inspection / Initial Inspection
50045454,LITTLE CAESARS,CWA,1491,Pizza,2/23/2016,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,9,A,2/23/2016,8/28/2017,Pre-permit (Operational) / Initial Inspection
41047105,LIBRETTO'S PIZZERIA,DAB,546,American,8/1/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,12,A,8/1/2016,8/28/2017,Cycle Inspection / Re-inspection
50001398,GRACE STREET,DAY,17,CafÃ©/Coffee/Tea,8/31/2015,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8,A,8/31/2015,8/28/2017,Cycle Inspection / Initial Inspection
50034040,TANOSHI TEI,DCA,1374,Japanese,7/28/2015,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,26,B,7/28/2015,8/28/2017,Pre-permit (Operational) / Re-inspection
50018562,BURGER TIME,DEN,1080,Hamburgers,5/1/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,13,A,5/1/2017,8/28/2017,Cycle Inspection / Initial Inspection
50010568,CHUANG CHEF,DFW,5527,Chinese,4/19/2017,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,6,A,4/19/2017,8/28/2017,Cycle Inspection / Re-inspection
41471899,MING XING BBQ RESTAURANT,DHN,3514,Chinese,11/22/2016,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,8,A,11/22/2016,8/28/2017,Cycle Inspection / Re-inspection
41576098,JR PRIMOS RESTAURANT,DIK,698,Spanish,10/21/2015,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,22,B,10/21/2015,8/28/2017,Cycle Inspection / Re-inspection
41642243,TANGRA MASALA,DLH,8709,Asian,3/16/2017,Violations were cited in the following area(s).,09C,Food contact surface not properly maintained.,Not Critical,11,A,3/16/2017,8/28/2017,Cycle Inspection / Initial Inspection
40511479,CIBAR,DVL,56,American,7/23/2015,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,13,A,7/23/2015,8/28/2017,Cycle Inspection / Initial Inspection
50045023,LEE CHINESE RESTAURANT,COS,1884,Chinese,3/22/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,3/22/2016,8/28/2017,Pre-permit (Operational) / Re-inspection
41701096,652 LIN'S GARDEN,CPR,652,Chinese,11/20/2013,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,26,B,11/20/2013,8/28/2017,Cycle Inspection / Re-inspection
50009470,KATO CAFE,CVG,13501,Chinese,6/10/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,11,A,6/10/2016,8/28/2017,Cycle Inspection / Initial Inspection
41647695,DUNKIN' DONUTS,DAB,1834,Donuts,10/9/2014,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,6,A,10/9/2014,8/28/2017,Cycle Inspection / Re-inspection
41010358,L'AMOUR,DAY,10211,Jewish/Kosher,3/17/2015,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,11,A,3/17/2015,8/28/2017,Cycle Inspection / Re-inspection
41486983,Townhouse 275,COS,275,Tapas,1/11/2017,Violations were cited in the following area(s).,03A,Food from unapproved or unknown source or home canned. Reduced oxygen packaged (ROP) fish not frozen before processing; or ROP foods prepared on premises transported to another site.,Critical,10,A,1/11/2017,8/28/2017,Cycle Inspection / Initial Inspection
41203533,GREAT TASTE BAKERY,COU,3335,Bakery,3/4/2016,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,18,B,3/4/2016,8/28/2017,Cycle Inspection / Re-inspection
40402205,PIADINA RESTAURANT,CRP,57,Italian,2/6/2015,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,10,A,2/6/2015,8/28/2017,Cycle Inspection / Re-inspection
41432865,SUSHI HANA,CRW,111,Japanese,4/13/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12,A,4/13/2016,8/28/2017,Cycle Inspection / Re-inspection
41574399,NEW HONG KONG,CSG,12701,Chinese,12/12/2013,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,15,B,12/12/2013,8/28/2017,Cycle Inspection / Re-inspection
50006605,AT YOUR MOTHER-IN-LAW,CVG,3071,Korean,2/12/2015,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,9,A,2/12/2015,8/28/2017,Cycle Inspection / Initial Inspection
50042839,LATIN BITES,CWA,419,"Latin (Cuban, Dominican, Puerto Rican, South & Central American)",4/21/2017,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,17,B,4/21/2017,8/28/2017,Cycle Inspection / Re-inspection
41682864,JPMC CAFETERIA,DBQ,383,American,7/28/2017,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,12,A,7/28/2017,8/28/2017,Cycle Inspection / Initial Inspection
41696881,NUMERO 28 PIZZERIA,DCA,658660,Pizza/Italian,3/30/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,7,A,3/30/2016,8/28/2017,Cycle Inspection / Re-inspection
41574056,LE PAIN QUOTIDIEN,DIK,708,French,12/23/2016,Violations were cited in the following area(s).,10F,"Non-food contact surface improperly constructed. Unacceptable material used. Non-food contact surface or equipment improperly maintained and/or not properly sealed, raised, spaced or movable to allow accessibility for cleaning on all sides, above and underneath the unit.",Not Critical,8,A,12/23/2016,8/28/2017,Cycle Inspection / Re-inspection
50001983,KENNEDY FRIED CHICKEN,DTW,1798,Chicken,3/31/2016,Violations were cited in the following area(s).,08A,Facility not vermin proof. Harborage or conditions conducive to attracting vermin to the premises and/or allowing vermin to exist.,Not Critical,11,A,3/31/2016,8/28/2017,Cycle Inspection / Initial Inspection
40841241,GLORIA'S #3,DVL,764,Caribbean,9/30/2013,Violations were cited in the following area(s).,02G,Cold food item held above 41Âº F (smoked fish and reduced oxygen packaged foods above 38 ÂºF) except during necessary preparation.,Critical,23,B,9/30/2013,8/28/2017,Cycle Inspection / Re-inspection
40990597,TAI THAI THAILAND,COS,78,Thai,9/17/2014,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,12,A,9/17/2014,8/28/2017,Cycle Inspection / Re-inspection
40727750,UTSAV FESTIVE INDIA RESTAURANT,COU,1185,Indian,12/11/2014,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,12,A,12/11/2014,8/28/2017,Cycle Inspection / Re-inspection
41623695,K & H Sushi World,CPR,4141,Asian,2/27/2017,Violations were cited in the following area(s).,10J,''''Wash hands sign not posted at hand wash facility.,Not Critical,12,A,2/27/2017,8/28/2017,Cycle Inspection / Initial Inspection
41061112,T & R PIZZA,CRP,411,Pizza,11/24/2015,Violations were cited in the following area(s).,04N,"Filth flies or food/refuse/sewage-associated (FRSA) flies present in facilitys food and/or non-food areas. Filth flies include house flies, little house flies, blow flies, bottle flies and flesh flies. Food/refuse/sewage-associated flies include fruit flies, drain flies and Phorid flies.",Critical,24,B,11/24/2015,8/28/2017,Cycle Inspection / Re-inspection
41452462,CRYSTAL,CSG,212,Japanese,6/4/2014,Violations were cited in the following area(s).,06D,"Food contact surface not properly washed, rinsed and sanitized after each use and following any activity when contamination may have occurred.",Critical,10,A,6/4/2014,8/28/2017,Cycle Inspection / Initial Inspection
40535512,KUM GANG SAN,CVG,13828,Korean,7/15/2015,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,13,A,7/15/2015,8/28/2017,Cycle Inspection / Re-inspection
50008220,KARAOKE DUET,CWA,900,Other,8/17/2016,Violations were cited in the following area(s).,06A,Personal cleanliness inadequate. Outer garment soiled with possible contaminant.  Effective hair restraint not worn in an area where food is prepared.,Critical,13,A,8/17/2016,8/28/2017,Cycle Inspection / Initial Inspection
41704055,JOHNS PIZZA,DAL,1788,Pizza,9/25/2013,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,13,A,9/25/2013,8/28/2017,Cycle Inspection / Initial Inspection
41470093,BLUTOS PUB,DCA,4503,American,8/25/2016,Violations were cited in the following area(s).,06E,"Sanitized equipment or utensil, including in-use food dispensing utensil, improperly used or stored.",Critical,7,A,8/25/2016,8/28/2017,Cycle Inspection / Re-inspection
41382007,CASA LA FEMME,DEN,140,Egyptian,5/25/2016,Violations were cited in the following area(s).,10B,Plumbing not properly installed or maintained; anti-siphonage or backflow prevention device not provided where required; equipment or floor not properly drained; sewage disposal system in disrepair or not functioning properly.,Not Critical,9,A,5/25/2016,8/28/2017,Cycle Inspection / Initial Inspection
41428965,IGGY'S PIZZERIA,DHN,173,Pizza,6/22/2015,Violations were cited in the following area(s).,06C,"Food not protected from potential source of contamination during storage, preparation, transportation, display or service.",Critical,11,A,6/22/2015,8/28/2017,Cycle Inspection / Re-inspection
50005429,AL-ARAF HALAL FRIED CHICKEN AND FROZEN DELIGHTS,DIK,7603,American,11/12/2015,Violations were cited in the following area(s).,04L,Evidence of mice or live mice present in facility's food and/or non-food areas.,Critical,20,B,11/12/2015,8/28/2017,Cycle Inspection / Re-inspection
41658037,MIZU,DLG,29,Japanese,12/14/2016,Violations were cited in the following area(s).,02B,Hot food item not held at or above 140Âº F.,Critical,7,A,12/14/2016,8/28/2017,Cycle Inspection / Re-inspection
